CIP13,NOM COURT
3400921618075,"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 MG/12,5 MG CPR 90"
3400921619195,"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/12,5 MG CPR 30"
3400921619546,"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/12,5 MG CPR 90"
3400921620726,VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/25 MG CPR 30
3400921621266,VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 160 MG/25 MG CPR 90
3400921622218,ESOMEPRAZOLE TEVA PHARMA 40 MG CPR GASTRORESISTANT 14
3400921622447,ESOMEPRAZOLE TEVA PHARMA 40 MG CPR GASTRORESISTANT 28
3400921623338,ESOMEPRAZOLE MYPLIX 20 MG CPR GASTRORESISTANT 7
3400921623567,ESOMEPRAZOLE MYPLIX 20 MG CPR GASTRORESISTANT 14
3400921623796,ESOMEPRAZOLE MYPLIX 20 MG CPR GASTRORESISTANT 28
3400921625929,LEVETIRACETAM TEVA 250 MG CPR 60
3400921626001,LEVETIRACETAM TEVA 500 MG CPR 60
3400921626179,LEVETIRACETAM TEVA 1000 MG CPR 60
3400921626469,ESOMEPRAZOLE MYPLIX 40 MG CPR GASTRORESISTANT 14
3400921626698,ESOMEPRAZOLE MYPLIX 40 MG CPR GASTRORESISTANT 28
3400921627701,ESOMEPRAZOLE REF 20 MG CPR GASTRORESISTANT 28
3400921628999,ESOMEPRAZOLE REF 40 MG CPR GASTRORESISTANT 28
3400921630251,ESOMEPRAZOLE ALTISO 20 MG CPR GASTRORESISTANT 28
3400921632552,ESOMEPRAZOLE ALTISO 40 MG CPR GASTRORESISTANT 28
3400921633382,ESOMEPRAZOLE ARROW 20 MG CPR GASTRORESISTANT 7
3400921633443,ESOMEPRAZOLE ARROW 20 MG CPR GASTRORESISTANT 14
3400921633672,ESOMEPRAZOLE ARROW 20 MG CPR GASTRORESISTANT 28
3400921634792,ESOMEPRAZOLE ARROW 40 MG CPR GASTRORESISTANT 14
3400921634914,ESOMEPRAZOLE ARROW 40 MG CPR GASTRORESISTANT 28
3400921636116,"LETROZOLE CRISTERS 2,5 MG CPR 30"
3400921636284,ESOCIFAR 20 MG Gé CPR GASTRORESISTANT 7
3400921636345,ESOCIFAR 20 MG Gé CPR GASTRORESISTANT 14
3400921636574,ESOCIFAR 20 MG Gé CPR GASTRORESISTANT 28
3400921637694,ESOCIFAR 40 MG Gé CPR GASTRORESISTANT 14
3400921637816,ESOCIFAR 40 MG Gé CPR GASTRORESISTANT 28
3400921641486,"LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 50 MG/12,5 MG CPR 28"
3400921642148,"LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 50 MG/12,5 MG CPR SEC 90"
3400921643497,"LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 100 MG/12,5 MG CPR 28"
3400921644098,"LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 100 MG/12,5 MG CPR 90"
3400921644500,LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 100 MG/25 MG CPR 28
3400921645279,LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 100 MG/25 MG CPR 90
3400921650181,ATORVASTATINE ZENTIVA 80 MG CPR 30
3400921650471,ATORVASTATINE ZENTIVA 80 MG CPR 90
3400921650990,ATORVASTATINE ZENTIVA 10 MG CPR 30
3400921651362,ATORVASTATINE ZENTIVA 10 MG CPR 90
3400921651881,ATORVASTATINE ZENTIVA 20 MG CPR 30
3400921652192,ATORVASTATINE ZENTIVA 20 MG CPR 90
3400921652604,ATORVASTATINE ZENTIVA 40 MG CPR 30
3400921653083,ATORVASTATINE ZENTIVA 40 MG CPR 90
3400921653663,DOXAZOSINE MYLAN LP 4 MG CPR 28
3400921654783,EXEMESTANE RANBAXY 25 MG CPR 30
3400921655674,DOXAZOSINE ACTAVIS LP 8 MG CPR 28
3400921656794,DOXAZOSINE MYLAN LP 8 MG CPR 28
3400921658286,CLARELUX 500 MCG/G MOUSSE APPL CUT FL 1/100 G
3400921659177,DESLORATADINE MYLAN PHARMA 5 MG CPR 15
3400921659528,DESLORATADINE MYLAN PHARMA 5 MG CPR 30
3400921659696,DONEPEZIL BIOGARAN 5 MG CPR 28
3400921659986,DONEPEZIL BIOGARAN 10 MG CPR 28
3400921661477,DESOGESTREL MYLAN 75 MCG CPR 28
3400921661538,DESOGESTREL MYLAN 75 MCG CPR 84
3400921662078,"AMOROLFINE RANBAXY 5% VERNIS A ONGLES MEDIC 1/2,5 ML"
3400921662948,"AMOROLFINE CRISTERS 5 % VERNIS A ONGLES MEDIC 1/2,5 ML"
3400921663020,"AMOROLFINE CRISTERS 5 % VERNIS A ONGLES MEDIC 1/2,5 ML"
3400921663839,ATORVASTATINE ISOMED 10 MG CPR 28
3400921664379,ATORVASTATINE ISOMED 10 MG CPR 90
3400921664430,ATORVASTATINE ISOMED 20 MG CPR 28
3400921664959,ATORVASTATINE ISOMED 20 MG CPR 90
3400921665321,DIACEREINE ZYDUS 50 MG GELULE 30
3400921665550,ATORVASTATINE ISOMED 40 MG CPR 28
3400921665901,ATORVASTATINE ISOMED 40 MG CPR 90
3400921666090,ATORVASTATINE ISOMED 80 MG CPR 28
3400921666441,ATORVASTATINE ISOMED 80 MG CPR 90
3400921672534,GLIMEPIRIDE ACCORD HEALTHCARE 1 MG CPR 90
3400921672763,GLIMEPIRIDE ACCORD HEALTHCARE 2 MG CPR 90
3400921672824,GLIMEPIRIDE ACCORD HEALTHCARE 3 MG CPR 90
3400921672992,GLIMEPIRIDE ACCORD HEALTHCARE 4 MG CPR 90
3400921673074,ALLOPURINOL ZENTIVA 100 MG CPR 28
3400921675894,ALLOPURINOL ZENTIVA 200 MG CPR 28
3400921676266,ALLOPURINOL ZENTIVA 300 MG CPR 28
3400921676327,ENBREL 10 MG PDRE SOLV SOL INJ 4
3400921677447,ALLOPURINOL RATIOPHARM 100 MG CPR 28
3400921678918,ALLOPURINOL RATIOPHARM 200 MG CPR 28
3400921680058,ALLOPURINOL RATIOPHARM 300 MG CPR 28
3400921686951,ATENOLOL ZENTIVA 50 MG CPR SEC 30
3400921687262,ATENOLOL ZENTIVA 50 MG CPR SEC 90
3400921687491,ALFUZOSINE ISOMED LP 10 MG CPR 30
3400921687552,TASIGNA 200 MG GELULE 28
3400921687613,TASIGNA 200 MG GELULE 112
3400921687781,"OMNITROPE 15 MG/1,5 ML SOL INJ CARTOUCHE 1/1,5 ML"
3400921687842,"OMNITROPE 15 MG/1,5 ML SOL INJ CARTOUCHE 5/1,5 ML"
3400921687903,"OMNITROPE 15 MG/1,5 ML SOL INJ CARTOUCHE 10/1,5 ML"
3400921689273,PERINDOPRIL EVOLUGEN 2 MG CPR 30
3400921689914,EBASTINE TEVA 10 MG CPR DISP 30
3400921690682,PERINDOPRIL EVOLUGEN 4 MG CPR SEC 30
3400921691115,OLANZAPINE BLUEFISH 5 MG CPR DISP 28
3400921691924,RIZATRIPTAN EG 5 MG CPR 12
3400921692525,RIZATRIPTAN EG 10 MG CPR 12
3400921693065,RIZATRIPTAN EG 10 MG CPR DISP 6
3400921693126,RIZATRIPTAN EG 10 MG CPR DISP 12
3400921693416,OLANZAPINE BLUEFISH 10 MG CPR DISP 28
3400921694017,PERINDOPRIL EVOLUGEN 8 MG CPR 30
3400921694994,ATENOLOL ZENTIVA 100 MG CPR SEC 30
3400921695137,ATENOLOL ZENTIVA 100 MG CPR SEC 90
3400921695656,RIBAVIRINE MYLAN 200 MG CPR 28
3400921695717,RIBAVIRINE MYLAN 200 MG CPR 42
3400921695885,RIBAVIRINE MYLAN 400 MG CPR 14
3400921702903,MENVEO PDRE SOL INJ FL 1
3400921703214,VALSARTAN ALTER 80 MG CPR 30
3400921703504,VALSARTAN ALTER 80 MG CPR 90
3400921704044,VALSARTAN ALTER 160 MG CPR 30
3400921704334,VALSARTAN ALTER 160 MG CPR 90
3400921708707,DONEPEZIL KRKA 5 MG CPR 28
3400921709247,DONEPEZIL KRKA 10 MG CPR 28
3400921709476,"OVITRELLE 250 MCG/0,5 ML SOL INJ STYLO 1/0,5 ML"
3400921716801,"PEGASYS 135 MCG SOL INJ STYLO 1/0,5 ML"
3400921716979,"PEGASYS 135 MCG SOL INJ STYLO 4/0,5 ML"
3400921717341,"PEGASYS 180 MCG SOL INJ STYLO 1/0,5 ML"
3400921717631,RISEDRONATE ARROW 35 MG CPR 4
3400921717921,RISEDRONATE ARROW 35 MG CPR 12
3400921718171,"PEGASYS 180 MCG SOL INJ STYLO 4/0,5 ML"
3400921718812,CANDESARTAN ACTAVIS 4 MG CPR SEC 30
3400921719123,CANDESARTAN ACTAVIS 4 MG CPR SEC 90
3400921719642,CANDESARTAN ACTAVIS 8 MG CPR SEC 30
3400921719932,CANDESARTAN ACTAVIS 8 MG CPR SEC 90
3400921720471,CANDESARTAN ACTAVIS 16 MG CPR SEC 30
3400921720822,CANDESARTAN ACTAVIS 16 MG CPR SEC 90
3400921721362,CANDESARTAN ACTAVIS 32 MG CPR SEC 30
3400921721942,CITALOPRAM BLUEFISH 20 MG CPR SEC 30
3400921722192,"LISINOPRIL/HYDROCHLOROTHIAZIDE ZYDUS 20 MG/12,5 MG CPR SEC 30"
3400921722253,"LISINOPRIL/HYDROCHLOROTHIAZIDE ZYDUS 20 MG/12,5 MG CPR SEC 90"
3400921722314,"LATANOPROST BIOGARAN 0,005 % COLLYRE FL 1/2,5 ML"
3400921723144,"PERINDOPRIL/INDAPAMIDE EG LABO 4 MG/1,25 MG CPR 30"
3400921723434,"PERINDOPRIL/INDAPAMIDE EG LABO 4 MG/1,25 MG CPR 90"
3400921723953,"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS 8 MG/12,5 MG CPR 30"
3400921724325,"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS 8 MG/12,5 MG CPR 90"
3400921724783,"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS 16 MG/12,5 MG CPR 30"
3400921725094,"CANDESARTAN/HYDROCHLOROTHIAZIDE ACTAVIS 16 MG/12,5 MG CPR 90"
3400921725384,XGEVA 120 MG SOL INJ FL 1
3400921728118,"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW 8 MG/12,5 MG CPR 30"
3400921728408,"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW 8 MG/12,5 MG CPR 90"
3400921729177,"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW 16 MG/12,5 MG CPR 30"
3400921729696,"CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW 16 MG/12,5 MG CPR 90"
3400921737851,INCIVO 375 MG CPR 168
3400921738681,CANDESARTAN BIOGARAN 32 MG CPR SEC 30
3400921739404,CANDESARTAN ZYDUS 32 MG CPR SEC 30
3400921740233,ATORVASTATINE BGR 10 MG CPR 30
3400921740813,ATORVASTATINE BGR 10 MG CPR 90
3400921741292,ATORVASTATINE BGR 20 MG CPR 30
3400921741704,ATORVASTATINE BGR 20 MG CPR 90
3400921742183,ATORVASTATINE BGR 40 MG CPR 30
3400921742763,ATORVASTATINE BGR 40 MG CPR 90
3400921743364,ATORVASTATINE BGR 80 MG CPR 30
3400921743883,ATORVASTATINE BGR 80 MG CPR 90
3400921748857,DESLORATADINE ZENTIVA 5 MG CPR 15
3400921749229,DESLORATADINE ZENTIVA 5 MG CPR 30
3400921749397,"ANAPEN 0,50 MG/0,3 ML SOL INJ 1"
3400921749748,ZYTIGA 250 MG CPR 120
3400921751987,EURARTESIM 320 MG/40 MG CPR 12
3400921752649,ZOMETA 4 MG/100 ML SOL INJ PERF FL 1
3400921752939,"LATANOPROST ZENTIVA 0,050 MG/ML COLLYRE FL 1/2,5 ML"
3400921753820,DESLORATADINE TEVA SANTE 5 MG CPR 15
3400921754131,DESLORATADINE TEVA SANTE 5 MG CPR 30
3400921756203,DESLORATADINE GNR 5 MG CPR 15
3400921756661,DESLORATADINE GNR 5 MG CPR 30
3400921758733,CLOPIDOGREL ZYDUS FRANCE 75 MG CPR 30
3400921760453,"DESLORATADINE GNR 0,5 MG/ML SOL BUV FL 1/150 ML"
3400921761405,"DESLORATADINE EG 0,5 MG/ML SOL BUV 1/150 ML"
3400921762693,"DESLORATADINE ZENTIVA 0,5 MG/ML SOL BUV 1/150 ML"
3400921763645,"DESLORATADINE ARROW 0,5 MG/ML SOL BUV 1/150 ML"
3400921763706,RISEDRONATE SANDOZ 75 MG CPR 2
3400921763935,RISEDRONATE SANDOZ 75 MG CPR 6
3400921764246,"OXOMEMAZINE ZENTIVA LAB 0,33 MG/ML SOL BUV 1/150 ML"
3400921765717,BENAZEPRIL ARROW 5 MG CPR SEC 30
3400921766196,BENAZEPRIL ARROW 5 MG CPR SEC 90
3400921766608,BENAZEPRIL ARROW 5 MG CPR SEC 30
3400921767148,BENAZEPRIL ARROW 5 MG CPR SEC 90
3400921767728,BENAZEPRIL ARROW 10 MG CPR SEC 30
3400921768268,BENAZEPRIL ARROW 10 MG CPR SEC 90
3400921769678,"BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW 10 MG/12,5 MG CPR SEC 30"
3400921770278,"BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW 10 MG/12,5 MG CPR SEC 90"
3400921770858,"BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW 10 MG/12,5 MG CPR SEC 30"
3400921771398,"BENAZEPRIL/HYDROCHLOROTHIAZIDE ARROW 10 MG/12,5 MG CPR SEC 90"
3400921777024,RILUZOLE SANDOZ 50 MG CPR 56
3400921779325,ESOMEPRAZOLE TEVA SANTE 20 MG CPR GASTRORESISTANT 14
3400921779493,ESOMEPRAZOLE TEVA SANTE 20 MG CPR GASTRORESISTANT 28
3400921779905,ESOMEPRAZOLE TEVA SANTE 40 MG CPR GASTRORESISTANT 14
3400921780093,ESOMEPRAZOLE TEVA SANTE 40 MG CPR GASTRORESISTANT 28
3400921782165,"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 150 MG/12,5 MG CPR 30"
3400921782455,"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 150 MG/12,5 MG CPR 90"
3400921782745,"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 300 MG/12,5 MG CPR 30"
3400921783056,"IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 300 MG/12,5 MG CPR 90"
3400921783285,IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 300 MG/25 MG CPR 30
3400921783575,IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 300 MG/25 MG CPR 90
3400921783926,"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 150 MG/12,5 MG CPR 30"
3400921784237,"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 150 MG/12,5 MG CPR 90"
3400921784695,"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 300 MG/12,5 MG CPR 30"
3400921784985,"IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 300 MG/12,5 MG CPR 90"
3400921785296,IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 300 MG/25 MG CPR 30
3400921785586,IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 300 MG/25 MG CPR 90
3400921787139,"ROPINIROLE ZYDUS 0,25 MG CPR 21"
3400921787597,ILARIS 150 MG PDRE SOLV SOL INJ 1/1 ML
3400921787719,SMOFKABIVEN E EMULS PERF POCHE 6/493 ML
3400921789089,MONTELUKAST ALTER 10 MG CPR 28
3400921790030,"ZOLMITRIPTAN EG 2,5 MG CPR 6"
3400921790269,"ZOLMITRIPTAN EG 2,5 MG CPR 12"
3400921790559,LANSOPRAZOLE ACTAVIS 30 MG GELULE GASTRORESISTANTE 28
3400921790788,"ZOLMITRIPTAN EG 2,5 MG CPR DISP 6"
3400921790900,"ZOLMITRIPTAN EG 2,5 MG CPR DISP 12"
3400921791679,MYCOPHENOLATE MOFETIL RANBAXY 500 MG CPR 50
3400921792102,EXEMESTANE ZENTIVA 25 MG CPR 30
3400921792560,RABEPRAZOLE EG 10 MG CPR GASTRORESISTANT 14
3400921792621,RABEPRAZOLE EG 10 MG CPR GASTRORESISTANT 28
3400921793222,RABEPRAZOLE EG 20 MG CPR GASTRORESISTANT 14
3400921793390,RABEPRAZOLE EG 20 MG CPR GASTRORESISTANT 28
3400921795004,MONTELUKAST ARROW 10 MG CPR 28
3400921796063,NICOTINELL FRUIT EXOTIQUE 2 MG GOMME A MACHER MEDIC 96
3400921796124,NICOTINELL FRUIT EXOTIQUE 2 MG GOMME A MACHER MEDIC 204
3400921801477,ATORVASTATINE MYLAN PHARMA 10 MG CPR 30
3400921801996,ATORVASTATINE MYLAN PHARMA 10 MG CPR 90
3400921804201,PYLERA 140 MG/125 MG/125 MG GELULE 120
3400921804720,ATORVASTATINE MYLAN PHARMA 20 MG CPR 30
3400921805260,ATORVASTATINE MYLAN PHARMA 20 MG CPR 90
3400921806441,ATORVASTATINE MYLAN PHARMA 40 MG CPR 30
3400921806960,ATORVASTATINE MYLAN PHARMA 40 MG CPR 90
3400921809114,ATORVASTATINE MYLAN PHARMA 80 MG CPR 30
3400921809572,ATORVASTATINE MYLAN PHARMA 80 MG CPR 90
3400921809633,DORZOLAMIDE/TIMOLOL ZENTIVA 20 MG/ML COLLYRE FL 1/5 ML
3400921810813,"LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 100 MG/12,5 MG CPR 30"
3400921811353,"LOSARTAN/HYDROCHLOROTHIAZIDE KRKA 100 MG/12,5 MG CPR 90"
3400921811414,DORZOLAMIDE CHAUVIN 20 MG/ML COLLYRE FL 1/5 ML
3400921811704,AZITHROMYCINE TEVA 250 MG CPR 6
3400921815085,"NARATRIPTAN ZENTIVA 2,5 MG CPR 6"
3400921815146,"NARATRIPTAN ZENTIVA 2,5 MG CPR 12"
3400921815894,"LATANOPROST BIOGARAN 0,005 % COLLYRE FL 3/2,5 ML"
3400921816037,"LATANOPROST ACTAVIS 0,005 % COLLYRE FL 3/2,5 ML"
3400921818048,"IRBESARTAN/HYDROCHLOROTHIAZIDE SANDOZ 300 MG/12,5 MG CPR 30"
3400921818796,"IRBESARTAN/HYDROCHLOROTHIAZIDE SANDOZ 300 MG/12,5 MG CPR 90"
3400921819687,DONEPEZIL KRKA 10 MG CPR DISP 28
3400921824131,PRAVASTATINE SANDOZ 20 MG CPR SEC 90
3400921824360,PRAVASTATINE SANDOZ 40 MG CPR 90
3400921824599,VYNDAQEL 20 MG CAPSULE MOLLE 30
3400921824889,DONEPEZIL PFIZER 5 MG CPR 28
3400921825190,DONEPEZIL PFIZER 10 MG CPR 28
3400921832174,"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 80 MG/12,5 MG CPR 30"
3400921832464,"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 80 MG/12,5 MG CPR 90"
3400921832815,VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 160 MG/25 MG CPR 30
3400921833065,VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 160 MG/25 MG CPR 90
3400921833355,"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 160 MG/12,5 MG CPR 30"
3400921833584,"VALSARTAN/HYDROCHLOROTHIAZIDE ARROW 160 MG/12,5 MG CPR 90"
3400921836547,RABEPRAZOLE ZENTIVA 10 MG CPR GASTRORESISTANT 14
3400921836776,RABEPRAZOLE ZENTIVA 10 MG CPR GASTRORESISTANT 28
3400921837896,RABEPRAZOLE ZENTIVA 20 MG CPR GASTRORESISTANT 14
3400921838329,RABEPRAZOLE ZENTIVA 20 MG CPR GASTRORESISTANT 28
3400921839210,RILUZOLE PMCS 50 MG CPR 56
3400921839449,"LATANOPROST RANBAXY 50 MCG/ML COLLYRE FL 1/2,5 ML"
3400921839500,"LATANOPROST RANBAXY 50 MCG/ML COLLYRE FL 3/2,5 ML"
3400921839968,CANDESARTAN ZYDUS 16 MG CPR SEC 30
3400921840049,CANDESARTAN ZYDUS 16 MG CPR SEC 90
3400921843750,MIRTAZAPINE ARROW GENERIQUES 15 MG CPR 30
3400921845761,PRAVASTATINE MYLAN 10 MG CPR SEC 28
3400921846133,PRAVASTATINE MYLAN 20 MG CPR SEC 28
3400921846423,PRAVASTATINE MYLAN 20 MG CPR SEC 84
3400921846652,PRAVASTATINE MYLAN 40 MG CPR 28
3400921846881,PRAVASTATINE MYLAN 40 MG CPR 84
3400921847543,RABEPRAZOLE ARROW GENERIQUES 10 MG CPR GASTRORESISTANT 14
3400921848083,RABEPRAZOLE ARROW GENERIQUES 10 MG CPR GASTRORESISTANT 28
3400921848953,RABEPRAZOLE ARROW GENERIQUES 10 MG CPR GASTRORESISTANT 14
3400921849035,RABEPRAZOLE ARROW GENERIQUES 10 MG CPR GASTRORESISTANT 28
3400921849844,RABEPRAZOLE ARROW GENERIQUES 20 MG CPR GASTRORESISTANT 14
3400921850215,RABEPRAZOLE ARROW GENERIQUES 20 MG CPR GASTRORESISTANT 28
3400921851335,RABEPRAZOLE ARROW GENERIQUES 20 MG CPR GASTRORESISTANT 28
3400921852165,RABEPRAZOLE ZYDUS 10 MG CPR GASTRORESISTANT 14
3400921852516,RABEPRAZOLE ZYDUS 10 MG CPR GASTRORESISTANT 28
3400921854466,RABEPRAZOLE ZYDUS 20 MG CPR GASTRORESISTANT 14
3400921854817,RABEPRAZOLE ZYDUS 20 MG CPR GASTRORESISTANT 28
3400921856477,BREAKYL 200 MCG FILM ORODISP 4
3400921856538,BREAKYL 200 MCG FILM ORODISP 28
3400921856767,BREAKYL 400 MCG FILM ORODISP 4
3400921856828,BREAKYL 400 MCG FILM ORODISP 10
3400921856996,BREAKYL 400 MCG FILM ORODISP 28
3400921857078,BREAKYL 600 MCG FILM ORODISP 4
3400921857139,BREAKYL 600 MCG FILM ORODISP 10
3400921857368,BREAKYL 600 MCG FILM ORODISP 28
3400921857658,BREAKYL 800 MCG FILM ORODISP 28
3400921857948,BREAKYL 1200 MCG FILM ORODISP 28
3400921858259,ATORVASTATINE ACCORD 10 MG CPR 30
3400921858778,ATORVASTATINE ACCORD 20 MG CPR 30
3400921859379,ATORVASTATINE ACCORD 40 MG CPR 30
3400921860559,ATORVASTATINE ACCORD 80 MG CPR 30
3400921861099,MONTELUKAST TEVA 4 MG SACHET 28
3400921865462,IRBESARTAN MYLAN 75 MG CPR 30
3400921866063,IRBESARTAN MYLAN 75 MG CPR 90
3400921866643,IRBESARTAN MYLAN 150 MG CPR 30
3400921867244,IRBESARTAN MYLAN 150 MG CPR 90
3400921867992,IRBESARTAN MYLAN 300 MG CPR 30
3400921868654,IRBESARTAN MYLAN 300 MG CPR 90
3400921871845,"LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 50 MG/12,5 MG CPR 30"
3400921872217,"LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 50 MG/12,5 MG CPR 90"
3400921872965,"LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 100 MG/12,5 MG CPR 30"
3400921873337,"LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 100 MG/12,5 MG CPR 90"
3400921873856,LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 100 MG/25 MG CPR 30
3400921874396,LOSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 100 MG/25 MG CPR 90
3400921879599,MORPHINE (CHLORHYDRATE) RENAUDIN 10 MG/ML SOL INJ POCHE 1/100 ML
3400921879711,MORPHINE (CHLORHYDRATE) RENAUDIN 20 MG/ML SOL INJ POCHE 1/100 ML
3400921883671,LOSARTAN MYLAN PHARMA 100 MG CPR 28
3400921884333,LOSARTAN MYLAN PHARMA 100 MG CPR 90
3400921889017,"PHLOROGLUCINOL/TRIMETHYLPHLOROGLUCINOL CHEMICAL FARMA 40 MG/0,04 MG/4 ML SOL INJ 6/4 ML"
3400921897579,DOXYCYCLINE SANDOZ 100 MG CPR SEC 30
3400921898989,VIRAMUNE 400 MG CPR 30
3400921900972,CEFPODOXIME ARROW GENERIQUES 40 MG/5 ML SUSP BUV 1/100 ML
3400921901405,PANTOPRAZOLE BLUEFISH 20 MG CPR GASTRORESISTANT 28
3400921906257,CHOLURSO 250 MG CPR 60
3400921906608,CHOLURSO 500 MG CPR 60
3400921906837,PANTOPRAZOLE BLUEFISH 40 MG CPR GASTRORESISTANT 28
3400921907209,PRAVASTATINE EG 20 MG CPR SEC 28
3400921907377,PRAVASTATINE EG 20 MG CPR SEC 84
3400921907667,PRAVASTATINE EG 40 MG CPR 28
3400921907728,PRAVASTATINE EG 40 MG CPR 84
3400921911978,TELMISARTAN MYLAN 40 MG CPR 30
3400921912289,TELMISARTAN MYLAN 40 MG CPR 90
3400921913521,TELMISARTAN MYLAN 80 MG CPR 30
3400921913989,TELMISARTAN MYLAN 80 MG CPR 90
3400921919783,PRAVASTATINE BIOGARAN 10 MG CPR SEC 28
3400921920154,PRAVASTATINE BIOGARAN 20 MG CPR SEC 28
3400921920383,PRAVASTATINE BIOGARAN 20 MG CPR SEC 84
3400921920505,PRAVASTATINE BIOGARAN 40 MG CPR SEC 28
3400921920734,PRAVASTATINE BIOGARAN 40 MG CPR SEC 84
3400921921045,PRAVASTATINE EVOLUGEN 10 MG CPR SEC 28
3400921921564,PRAVASTATINE EVOLUGEN 20 MG CPR SEC 28
